video_id,title,publish_date,viewCount,likeCount,dislikeCount,commentCount,subject,link
CIjXUg1s5gc,T-Pain: NPR Music Tiny Desk Concert,2014-10-29,10211041,75239,1864,3981,T-Pain:,https://www.youtube.com/watch?v=CIjXUg1s5gc
ferZnZ0_rSM,Anderson .Paak & The Free Nationals: NPR Music Tiny Desk Concert,2016-08-22,5773232,75993,1046,2807,Anderson .Paak & The Free Nationals:,https://www.youtube.com/watch?v=ferZnZ0_rSM
XWIvfE01J0k,Edward Sharpe And The Magnetic Zeroes: NPR Music Tiny Desk Concert,2009-11-02,3972713,24707,605,2472,Edward Sharpe And The Magnetic Zeroes:,https://www.youtube.com/watch?v=XWIvfE01J0k
9HUV5a7MgS4,Lianne LaHavas NPR Music Tiny Desk Concert,2015-10-02,3462099,55322,401,1554,Lianne LaHavas,https://www.youtube.com/watch?v=9HUV5a7MgS4
oLgZo6Qi3Uo,Hozier: NPR Music Tiny Desk Concert,2014-05-28,3172476,26929,418,1438,Hozier:,https://www.youtube.com/watch?v=oLgZo6Qi3Uo
JLRTleMY_mc,Tallest Man on Earth: NPR Music Tiny Desk Concert,2009-09-14,2875006,17291,283,1742,Tallest Man on Earth:,https://www.youtube.com/watch?v=JLRTleMY_mc
C_oACPWGvM4,Leon Bridges: NPR Music Tiny Desk Concert,2015-09-08,2725100,28451,351,919,Leon Bridges:,https://www.youtube.com/watch?v=C_oACPWGvM4
6nT911jkWEo,Iron And Wine: NPR Music Tiny Desk Concert:,2011-01-21,2499618,15757,268,1153,Iron And Wine:,https://www.youtube.com/watch?v=6nT911jkWEo
6vpXX5BjltM,St. Paul And The Broken Bones: NPR Music Tiny Desk Concert,2014-12-07,2116049,19025,325,819,St. Paul And The Broken Bones:,https://www.youtube.com/watch?v=6vpXX5BjltM
xKdp5uI8AC0,Alt-J: NPR Music Tiny Desk Concert,2012-12-17,2076298,17819,291,617,Alt-J:,https://www.youtube.com/watch?v=xKdp5uI8AC0
TdFCD3oXMZo,The National: NPR Music Tiny Desk Concert,2013-06-10,2021166,12836,220,715,The National:,https://www.youtube.com/watch?v=TdFCD3oXMZo
s-OoG1aGYO0,Daughter: NPR Music Tiny Desk Concert,2013-10-22,2000868,26309,164,738,Daughter:,https://www.youtube.com/watch?v=s-OoG1aGYO0
wwBhxBBa7tE,Moon Hooch: NPR Music Tiny Desk Concert,2014-07-07,1946847,30108,711,1774,Moon Hooch:,https://www.youtube.com/watch?v=wwBhxBBa7tE
hxsJvKYyVyg,The Cranberries: NPR Music Tiny Desk Concert,2012-03-02,1935694,17687,403,1459,The Cranberries:,https://www.youtube.com/watch?v=hxsJvKYyVyg
JrEJmvuKSwo,Macklemore & Ryan Lewis: NPR Music Tiny Desk Concert,2012-12-03,1835711,21824,438,1906,Macklemore & Ryan Lewis:,https://www.youtube.com/watch?v=JrEJmvuKSwo
YcHL0kUFPhw,Chris Stapleton: NPR Music Tiny Desk Concert,2015-09-14,1614615,12116,335,680,Chris Stapleton:,https://www.youtube.com/watch?v=YcHL0kUFPhw
mhyD2qchkEw,Sylvan Esso: NPR Music Tiny Desk Concert,2015-03-30,1595590,16072,402,1034,Sylvan Esso:,https://www.youtube.com/watch?v=mhyD2qchkEw
qTJfITfbYNA,Blue Man Group: NPR Music Tiny Desk Concert,2016-10-03,1580247,21966,610,1109,Blue Man Group:,https://www.youtube.com/watch?v=qTJfITfbYNA
w5cMqD0WqYE,Sturgill Simpson: NPR Music Tiny Desk Concert,2014-09-02,1530074,8123,200,580,Sturgill Simpson:,https://www.youtube.com/watch?v=w5cMqD0WqYE
onQLAEEeta8,John Legend: NPR Music Tiny Desk Concert,2013-11-18,1449340,11059,157,475,John Legend:,https://www.youtube.com/watch?v=onQLAEEeta8
Z0UISCEe52Y,Beirut: NPR Music Tiny Desk Concert,2011-09-22,1344589,11934,127,673,Beirut:,https://www.youtube.com/watch?v=Z0UISCEe52Y
mi6uRT7PxTQ,Death Cab For Cutie: NPR Music Tiny Desk Concert,2015-04-07,1336682,10716,136,644,Death Cab For Cutie:,https://www.youtube.com/watch?v=mi6uRT7PxTQ
8KUV2TFTpGo,Nathaniel Rateliff & the Night Sweats: NPR Music Tiny Desk Concerts,2015-11-17,1280298,8129,169,333,Nathaniel Rateliff & the Night Sweats:,https://www.youtube.com/watch?v=8KUV2TFTpGo
mVJjmyFfuts,Christian Scott aTunde Adjuah: NPR Music Tiny Desk Concert,2015-10-20,1273522,23724,159,1129,Christian Scott aTunde Adjuah:,https://www.youtube.com/watch?v=mVJjmyFfuts
n6oSeODGmoQ,Gaelynn Lea: NPR Music Tiny Desk Concert,2016-03-11,1271682,32650,451,2838,Gaelynn Lea:,https://www.youtube.com/watch?v=n6oSeODGmoQ
UZAKTCeE70Y,Wilco: NPR Music Tiny Desk Concert,2011-10-18,1261855,7180,147,703,Wilco:,https://www.youtube.com/watch?v=UZAKTCeE70Y
Er4q34P5Pxs,Passion Pit: NPR Music Tiny Desk Concert,2012-11-01,1240520,9590,188,369,Passion Pit:,https://www.youtube.com/watch?v=Er4q34P5Pxs
C3lcprigQ0E,Anthony Hamilton: NPR Music Tiny Desk Concert,2016-03-28,1200239,18021,292,990,Anthony Hamilton:,https://www.youtube.com/watch?v=C3lcprigQ0E
fp0xjVzmKxY,The Milk Carton Kids: NPR Music Tiny Desk Concert,2012-07-17,1152801,8541,166,826,The Milk Carton Kids:,https://www.youtube.com/watch?v=fp0xjVzmKxY
AbwPwWqA-QQ,Banks: NPR Music Tiny Desk Concert,2014-11-04,1133813,14557,228,859,Banks:,https://www.youtube.com/watch?v=AbwPwWqA-QQ
HamYmjllE6A,The Civil Wars: NPR Music Tiny Desk Concert,2011-06-27,1068176,9221,104,556,The Civil Wars:,https://www.youtube.com/watch?v=HamYmjllE6A
F6j49uzPugA,The Internet: NPR Music Tiny Desk Concert,2015-09-29,1064985,17668,363,921,The Internet:,https://www.youtube.com/watch?v=F6j49uzPugA
G7NapIZ1xGE,Angel Olsen: NPR Music Tiny Desk Concert,2014-01-27,1049156,9724,288,895,Angel Olsen:,https://www.youtube.com/watch?v=G7NapIZ1xGE
FoPoI1IwcTw,Yusuf/Cat Stevens: NPR Music Tiny Desk Concert,2014-12-15,1045765,7325,248,832,Yusuf/Cat Stevens:,https://www.youtube.com/watch?v=FoPoI1IwcTw
RRipadkd6wk,Tedeschi Trucks Band: Tiny Desk Concert,2016-03-25,1032844,10809,138,1056,Tedeschi Trucks Band,https://www.youtube.com/watch?v=RRipadkd6wk
VHdsoNewFdU,The Decemberists: NPR Music Tiny Desk Concert,2011-06-22,993121,5880,84,418,The Decemberists:,https://www.youtube.com/watch?v=VHdsoNewFdU
AndEMO__p2U,Suzanne Vega: NPR Music Tiny Desk Concert,2014-02-10,944068,8457,106,669,Suzanne Vega:,https://www.youtube.com/watch?v=AndEMO__p2U
crS5ti-Py7Q,The Swell Season: NPR Music Tiny Desk Concert,2009-08-12,939698,5158,79,419,The Swell Season:,https://www.youtube.com/watch?v=crS5ti-Py7Q
ymYjwsFz8iM,Fantastic Negrito: NPR Music Tiny Desk Concert,2015-03-09,904629,12018,161,578,Fantastic Negrito:,https://www.youtube.com/watch?v=ymYjwsFz8iM
iXE_K2Kpoqc,Punch Brothers: NPR Music Tiny Desk Concert,2015-03-16,885937,6588,87,322,Punch Brothers:,https://www.youtube.com/watch?v=iXE_K2Kpoqc
MEjNggZsWow,No BS! Brass Band: NPR Music Tiny Desk Concert,2013-06-17,878438,9018,123,552,No BS! Brass Band:,https://www.youtube.com/watch?v=MEjNggZsWow
rh9KDzNkpSI,Booker T. Jones: NPR Music Tiny Desk Concert,2011-05-02,872659,9330,86,462,Booker T. Jones:,https://www.youtube.com/watch?v=rh9KDzNkpSI
evBgLWQwAFA,Aurora: NPR Music Tiny Desk Concert,2015-11-09,867662,21125,177,1013,Aurora:,https://www.youtube.com/watch?v=evBgLWQwAFA
RZNrWmf4xH0,Keaton Henson: NPR Music Tiny Desk Concert,2013-08-03,866932,12543,184,674,Keaton Henson:,https://www.youtube.com/watch?v=RZNrWmf4xH0
FoyjUYtk30s,Local Natives: NPR Music Tiny Desk Concert,2011-02-28,857174,7987,79,576,Local Natives:,https://www.youtube.com/watch?v=FoyjUYtk30s
haunJARHPm4,Chvrches: NPR Music Tiny Desk Concert,2014-05-12,853364,7769,177,367,Chvrches:,https://www.youtube.com/watch?v=haunJARHPm4
11HHue911Tg,Jackson Browne: NPR Music Tiny Desk Concert,2014-10-08,842076,4972,99,675,Jackson Browne:,https://www.youtube.com/watch?v=11HHue911Tg
F_CKeb2gPQ8,Chris Thile and Michael Daves: NPR Music Tiny Desk Concert,2011-06-13,841497,6510,75,539,Chris Thile and Michael Daves:,https://www.youtube.com/watch?v=F_CKeb2gPQ8
Xv-FOSJIwrU,Courtney Barnett: NPR Music Tiny Desk Concert,2014-04-14,813723,8565,101,537,Courtney Barnett:,https://www.youtube.com/watch?v=Xv-FOSJIwrU
YJ-efUsAhc8,Jessie Ware: NPR Music Tiny Desk Concert,2015-04-21,805362,10382,107,337,Jessie Ware:,https://www.youtube.com/watch?v=YJ-efUsAhc8
sBZa7-2bG2I,Esperanza Spalding: NPR Music Tiny Desk Concert,2010-10-12,775978,8139,120,393,Esperanza Spalding:,https://www.youtube.com/watch?v=sBZa7-2bG2I
8Pk_2dVPjms,Lucius: NPR Music Tiny Desk Concert,2013-01-07,745720,6799,124,511,Lucius:,https://www.youtube.com/watch?v=8Pk_2dVPjms
lu9QH71YKQw,Raphael Saadiq: NPR Music Tiny Desk Concert,2009-09-28,740507,6917,54,300,Raphael Saadiq:,https://www.youtube.com/watch?v=lu9QH71YKQw
3-03z36Is6M,The xx: NPR Music Tiny Desk Concert,2013-02-11,735008,9094,130,480,The xx:,https://www.youtube.com/watch?v=3-03z36Is6M
ji-EdRtL9qU,PWR BTTM: NPR Music Tiny Desk Concert,2016-04-04,725639,14209,867,1314,PWR BTTM:,https://www.youtube.com/watch?v=ji-EdRtL9qU
fEjzBKo-sxI,Robert Cray: NPR Music Tiny Desk Concert,2012-10-24,720198,5130,49,371,Robert Cray:,https://www.youtube.com/watch?v=fEjzBKo-sxI
2AChGszRGwI,Common At The White House: NPR Music Tiny Desk Concert,2016-10-11,717278,13953,179,969,Common At The White House:,https://www.youtube.com/watch?v=2AChGszRGwI
efiBs11W1Ps,Noah And The Whale: NPR Music Tiny Desk Concert,2011-08-10,711541,5366,76,389,Noah And The Whale:,https://www.youtube.com/watch?v=efiBs11W1Ps
0TiEO149Ydc,The Wild Reeds: NPR Music Tiny Desk Concert,2015-11-20,688136,7577,100,289,The Wild Reeds:,https://www.youtube.com/watch?v=0TiEO149Ydc
_ajWFc2VqWo,Brandi Carlile: NPR Music Tiny Desk Concert,2012-07-13,638315,5030,76,324,Brandi Carlile:,https://www.youtube.com/watch?v=_ajWFc2VqWo
BgqAmZHkkTg,Kishi Bashi: NPR Music Tiny Desk Concert,2012-05-10,632661,8382,76,526,Kishi Bashi:,https://www.youtube.com/watch?v=BgqAmZHkkTg
NwjN3UCBW14,D.R.A.M.: NPR Music Tiny Desk Concert,2017-02-08,630726,13950,247,1060,D.R.A.M.:,https://www.youtube.com/watch?v=NwjN3UCBW14
OcFHOGZ-6aM,Pixies: NPR Music Tiny Desk Concert,2014-02-04,606467,4678,83,446,Pixies:,https://www.youtube.com/watch?v=OcFHOGZ-6aM
TtYtyz8KE74,Shakey Graves: NPR Music Tiny Desk Concert,2015-12-15,606444,5931,176,266,Shakey Graves:,https://www.youtube.com/watch?v=TtYtyz8KE74
r-B_fkZfWjk,Lisa Hannigan: NPR Music Tiny Desk Concert,2011-10-31,563649,5148,42,342,Lisa Hannigan:,https://www.youtube.com/watch?v=r-B_fkZfWjk
00yQGeJ6AOM,Benjamin Clementine: Tiny Desk Concert,2016-04-18,545645,10301,133,613,Benjamin Clementine,https://www.youtube.com/watch?v=00yQGeJ6AOM
LFs3XUqJvNg,Lyle Lovett: NPR Music Tiny Desk Concert,2012-12-10,545340,3288,64,247,Lyle Lovett:,https://www.youtube.com/watch?v=LFs3XUqJvNg
3OTnUlUox-U,The Family Crest: NPR Music Tiny Desk Concert,2014-08-04,542389,5000,172,307,The Family Crest:,https://www.youtube.com/watch?v=3OTnUlUox-U
h--fvyPu5e4,Corinne Bailey Rae: NPR Music Tiny Desk Concert,2016-09-26,538044,8220,104,433,Corinne Bailey Rae:,https://www.youtube.com/watch?v=h--fvyPu5e4
VNMms_zGbnI,Ben Folds: NPR Music Tiny Desk Concert,2016-02-16,537524,4657,139,296,Ben Folds:,https://www.youtube.com/watch?v=VNMms_zGbnI
pc8U2VP92Vg,The Front Bottoms: NPR Music Tiny Desk Concert,2013-08-19,529040,6200,210,677,The Front Bottoms:,https://www.youtube.com/watch?v=pc8U2VP92Vg
onxGMaIDxi0,Steve Earle: NPR Music Tiny Desk Concert,2011-04-25,519404,2261,69,292,Steve Earle:,https://www.youtube.com/watch?v=onxGMaIDxi0
hsNKSbTNd5I,DakhaBrakha: NPR Music Tiny Desk Concert,2015-04-25,511488,7534,92,428,DakhaBrakha:,https://www.youtube.com/watch?v=hsNKSbTNd5I
uxglzsJkBJg,Margaret Glaspy: NPR Music Tiny Desk Concert,2016-08-29,498732,7874,164,470,Margaret Glaspy:,https://www.youtube.com/watch?v=uxglzsJkBJg
8XxFbJcswQk,Lily & Madeleine: NPR Music Tiny Desk Concert,2014-01-07,488229,5126,51,265,Lily & Madeleine:,https://www.youtube.com/watch?v=8XxFbJcswQk
VxpuB10FaSE,Sarah Jarosz: NPR Music Tiny Desk Concert,2013-12-09,485837,4321,51,265,Sarah Jarosz:,https://www.youtube.com/watch?v=VxpuB10FaSE
cwYAeUpH1NM,Trombone Shorty: NPR Music Tiny Desk Concert,2011-10-03,483206,4665,43,249,Trombone Shorty:,https://www.youtube.com/watch?v=cwYAeUpH1NM
